id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,mw_dist,m31_dist,r_ell,ell_surf_dist
90,Eridanus2,3,44,21.1,-43,32,0,9.999,22.9,0.2,999.9,16.3,0.1,81.0,0.4,99.9,1.53,0.14,0.09,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,380.18939632056123,20467.42715376234,hi4pi,upper_limit,0.02,no velocity,382.18893063733265,885.7661103844113,1142.3658014212917,104.83370294635351
91,NGC6822,19,44,56.6,-14,47,21,0.231,23.31,0.08,-54.5,8.1,0.2,330.0,0.24,19.7,2.65,9.99,9.99,23.2,1.2,99.9,99.9,130.0,x,u,5.8,1.9,47.0,,459.19801283686854,130000000.0,various,detected_mass,,ok,452.16684104420585,886.1135511805554,1305.9443707424903,166.08660644149094
92,Cetus,0,26,11.0,-11,2,40,0.028999999999999998,24.39,0.07,-83.9,13.1,0.2,63.0,0.33,25.0,3.2,0.1,0.1,8.3,1.0,7.7,1.2,0.0,x,u,0.0,0.0,0.0,,755.0922276654342,95114.61460733594,hi4pi,upper_limit,0.0235621,ok,755.6300624652935,677.2142821017397,1629.2622739519982,273.36250387669804
93,PegasusdIrr,23,28,36.3,14,44,35,0.068,24.82,0.07,-179.5,12.6,0.2,120.0,0.46,22.8,2.1,0.04,0.04,12.3,1.2,10.0,0.3,5.9,x,u,9.0,99.9,21.0,"- check DR1 and DR2 on this, DR1 356+18 (-153 (816) to -207 (743), lovely deep data extended)  for mbspect need to get the beam info in there to be accurate. kvis simple sum is ~2500 K km/s, extended but 2500 K / 9.1 K/Jy = 275 Jy km/s  MHI= 0.236*275*919^2 = 5.5 x 10^7  Nope and get an order of magnitude lower than the value quoted here (5.9 x 10^6) with mbspect without beam info, putting 0.00116 radians for bmaj/bmin in which gives the 240 arcsec beam.  it just gives something similar to kvis without conversion with beam 3500 K*pix km/s (or 3100 robust).  yes if you divide by the number of pixels per beam (say ~12) and then the 9.1 you get about the right answer.  otherwise try going through this the column density way",920.4495717531722,5900000.0,various,detected_mass,,,920.9877453366568,474.36864561523737,1337.8406487297232,173.46722258215752
94,LeoT,9,34,53.4,17,3,5,0.031,23.1,0.1,38.1,15.1,0.5,0.0,0.0,24.8,0.99,0.06,0.06,7.5,1.6,99.9,99.9,0.28,x,u,6.9,1.0,0.0,,416.8693834703355,280000.0,various,detected_mass,,,421.84975462963746,986.6725256561386,1243.9116420791784,151.4561470263611
95,WLM,0,1,58.2,-15,27,39,0.038,24.85,0.08,-130.0,10.6,0.1,179.0,0.55,23.7,8.62,0.26,0.26,17.5,2.0,17.0,1.0,61.0,x,u,4.5,1.0,30.0,,933.2543007969924,61000000.0,various,detected_mass,,,932.7841206393082,823.0366586179377,2124.279849159671,455.0812069873113
96,AndromedaXVIII,0,2,14.5,45,5,20,0.106,25.42,0.07,-332.1,16.0,9.9,999.9,9.99,25.6,0.92,0.06,0.06,9.7,2.3,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,1213.3888504649785,223479.5467967583,hi4pi,upper_limit,0.021439,ok,1216.628536460068,456.6342273072353,895.1121741446497,7.023331579816358
97,LeoA,9,59,26.5,30,44,47,0.021,24.51,0.12,24.0,12.4,0.2,114.0,0.4,22.8,2.15,9.99,9.99,6.7,1.4,0.0,0.0,11.0,x,u,9.3,1.4,0.0,,797.9946872679768,11000000.0,various,detected_mass,,,802.8659167619958,1196.7170096260472,2241.8544807814496,528.8683950078922
98,Aquarius,20,46,51.8,-12,50,53,0.051,25.15,0.08,-137.7,14.5,0.1,98.7,0.5,23.6,1.47,0.04,0.04,7.9,1.9,99.9,99.9,4.1,x,u,5.8,0.1,0.0,,1071.5193052376048,4099999.9999999995,various,detected_mass,,ok,1065.747288300862,1154.7022852555588,2823.1454633318285,714.1355936832375
99,Tucana,22,41,49.6,-64,25,10,0.031,24.74,0.12,194.0,15.2,0.2,97.0,0.48,25.0,1.1,0.2,0.2,15.8,4.1,16.0,99.9,0.0,x,u,0.0,0.0,0.0,,887.15601203796,85395.81245612683,hi4pi,upper_limit,0.0153251,ok,882.6991706754717,1345.7201032662738,2405.8728651647034,611.8442304143966
100,SagittariusdIrr,19,29,59.0,-17,40,51,0.124,25.14,0.18,-78.5,13.6,0.2,90.0,0.5,23.9,0.91,0.05,0.05,99.9,99.9,99.9,99.9,8.8,x,u,10.0,1.0,0.0,,1066.596121230259,8800000.0,various,detected_mass,,ok,1059.2136667673417,1344.2832478666346,2930.6313661970094,774.9529446781436
101,UGC4879,9,16,2.2,52,50,24,0.016,25.67,0.04,-29.2,13.2,0.2,84.2,0.44,21.2,0.41,0.04,0.04,9.6,1.3,99.9,99.9,0.95,x,u,11.0,1.1,0.0,,1361.4446824659512,950000.0,various,detected_mass,,"galactic confusion, Bellazini et al 2011, I guess ok, WSRT obs and small amount of gas with their obs. centered, could note value is likely affected by the confusion",1367.322429543799,1393.7559994128699,3612.566881207151,1001.1534699482643
102,AntliaB,9,48,56.1,-25,59,24,0.069,25.56,0.16,376.0,15.9,0.6,4.0,0.3,99.9,0.72,0.07,0.07,99.9,99.9,99.9,99.9,0.28,x,u,0.02,0.02,999.9,,1294.1958414499863,280000.0,various,detected_mass,,"no obvious detection in our data, check consistent with limits in final plot",1295.8216155266073,1956.5211091721774,2719.623509094398,950.2077048848311
103,NGC3109,10,3,6.9,-26,9,35,0.067,25.57,0.08,403.0,10.7,0.1,91.5,0.82,22.6,4.3,0.1,0.1,99.9,99.9,99.9,99.9,450.0,x,u,10.0,99.9,72.4,,1300.1695780332898,450000000.0,various,detected_mass,,ok,1301.2727321198233,1982.6250707306374,2610.7906436877342,943.4029073488206
104,SextansB,10,0,0.1,5,19,56,0.031,25.77,0.03,304.0,11.3,0.2,110.0,0.31,21.9,1.06,0.1,0.1,8.0,99.9,90.0,99.9,51.0,x,u,18.0,99.9,71.0,,1425.607593602188,51000000.0,various,detected_mass,,ok,1429.2166838402595,1939.9807047837846,3582.095614350236,1140.7777160782869
105,Antlia,10,4,4.1,-27,19,52,0.079,25.65,0.1,362.0,15.2,0.2,135.0,0.4,23.9,1.2,0.12,0.12,99.9,99.9,99.9,99.9,0.73,x,u,6.4,0.7,99.9,,1348.9628825916534,730000.0,various,detected_mass,,ok,1349.9686192999084,2033.5561665891871,2676.188697855385,989.4275927064497
106,SextansA,10,11,0.8,-4,41,34,0.045,25.78,0.08,324.0,11.5,0.1,0.0,0.17,22.8,2.47,9.99,9.99,99.9,99.9,99.9,99.9,77.0,x,u,8.0,1.0,20.0,,1432.1878992735456,77000000.0,various,detected_mass,,ok,1434.886957306438,2015.8232100589764,3354.3009251287253,1123.2632432076673
107,HIZSS3(A),7,0,29.3,-4,12,30,1.013,26.12,0.14,288.0,99.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,14.0,x,u,99.9,99.9,42.0,,1674.9428760264382,14000000.0,various,detected_mass,,"ok, r_h bad",1681.5494663805566,1917.6859280636745,4610.253018949394,1400.386557641486
108,HIZSS3B,7,0,29.3,-4,12,30,1.013,26.12,0.14,322.6,99.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,2.6,x,u,99.9,99.9,99.9,,1674.9428760264382,2600000.0,various,detected_mass,,"ok, r_h bad",1681.5494663805566,1917.6859280636745,4610.253018949394,1400.386557641486
109,LeoP,10,21,45.1,18,5,17,0.10800000000000001,26.05,0.2,264.0,16.9,0.1,999.9,9.99,99.9,99.99,9.99,9.99,99.9,9.9,99.9,99.9,0.94,x,u,99.9,99.9,9.0,(not in dr2),1621.8100973589296,940000.0,various,detected_mass,,,1625.5446476733591,2047.9305507528172,4255.74482999376,1351.0079597439765
110,ESO410-G005,0,15,31.6,-32,10,48,0.013999999999999999,26.42,0.04,999.9,14.9,0.3,57.0,0.37,22.2,0.5,0.05,0.05,99.9,99.9,99.9,99.9,0.73,x,u,14.2,0.6,99.9,,1923.0917289101617,730000.0,various,detected_mass,,,1921.7949685567298,1856.6199269398728,5027.479402226867,1519.3522208083357
111,KKR25,16,13,48.0,54,22,16,0.009000000000000001,26.42,0.07,-65.0,15.5,0.2,999.9,0.49,24.0,0.47,0.03,0.03,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,1923.0917289101617,605836.340434887,hi4pi,upper_limit,0.0231378,ok,1922.4773056689673,1868.8482373329928,5050.6466146511375,1527.4251446080746
112,#NGC55,0,14,53.6,-39,11,48,0.013000000000000001,26.43,0.12,129.0,7.9,0.1,108.0,0.83,19.3,5.16,9.99,9.99,99.9,99.9,99.9,99.9,1300.0,x,u,99.9,99.9,86.0,,,1300000000.0,various,detected_mass,,too massive for sample,1930.1898727987957,1957.9038495804643,5195.283813373955,1581.483199689141
113,ESO294-G010,0,26,33.4,-41,51,19,0.006,26.54,0.04,117.0,15.3,0.3,8.0,0.51,22.3,0.42,0.04,0.04,99.9,99.9,99.9,99.9,0.34,x,u,9.7,0.9,99.9,,2032.3570109362208,340000.0,various,detected_mass,,"in galactic, check ref",2030.7707814416165,2066.178785137131,5484.105569453837,1687.8844769448733
114,#NGC300,0,54,53.5,-37,41,4,0.013000000000000001,26.59,0.06,146.0,8.1,0.1,111.0,0.29,21.0,5.0,9.99,9.99,99.9,99.9,80.0,5.0,1800.0,x,u,13.0,5.0,98.8,,,1800000000.0,various,detected_mass,,too massive for sample,2079.077112312088,2058.662756427876,5542.403786835917,1707.1743126527226
115,IC5152,22,2,41.5,-51,17,47,0.025,26.45,0.05,122.0,10.9,9.9,100.0,0.38,20.1,0.97,9.99,9.99,99.9,99.9,99.9,99.9,87.0,x,u,99.9,99.9,99.9,,1949.8445997580454,87000000.0,various,detected_mass,,ok,1944.750501003794,2202.6814488891478,5299.958844656396,1669.6765430157382
116,KKH98,23,45,34.0,38,43,4,0.12300000000000001,27.01,0.09,-136.9,15.2,0.3,175.0,0.41,22.8,0.64,0.06,0.06,99.9,99.9,99.9,99.9,6.6,x,u,99.9,99.9,99.9,,2523.4807724805755,6600000.0,various,detected_mass,,ok,2526.0036733537227,1765.9216184057127,2450.9017257052956,1237.6528809428864
117,UKS2323-326,23,26,27.5,-32,23,20,0.015,26.72,0.09,62.0,13.5,0.2,120.0,0.1,22.9,0.9,0.1,0.1,99.9,99.9,99.9,99.9,17.0,x,u,99.9,99.9,99.9,,2208.0047330188963,17000000.0,various,detected_mass,,"in galactic, Longmore et al. 1982 and then other refs listed for details on HI.  Given distance leave this",2205.3972761352693,2142.497947344995,5818.340924450942,1809.4170093239684
118,KK258,22,40,43.9,-30,47,59,0.011000000000000001,26.85,0.07,92.0,16.3,9.9,999.9,0.5,26.0,9.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,,2344.228815319923,869026.1108125001,hi4pi,upper_limit,0.0223357,ok,2340.5100148850256,2283.164516493963,6202.535571759622,1950.0640967907723
119,KKR3,14,7,10.5,35,3,37,0.013999999999999999,26.7,0.12,63.3,17.2,0.3,0.0,0.05,23.8,0.36,0.04,0.04,99.9,99.9,99.9,99.9,2.5,x,u,7.5,0.5,0.0,,2187.761623949552,2500000.0,various,detected_mass,,"in galactic, Begum et al. 2006 is the ref, probably fine, given distance leave it",2186.640603789208,2461.303421638643,5919.728206630994,1914.5444549341453
120,KKs3,2,24,44.4,-73,30,51,0.045,26.63,0.07,316.0,14.5,0.1,999.9,0.6,24.9,0.57,0.06,0.06,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,,2118.3611352485004,581479.1964775379,hi4pi,upper_limit,0.018302,ok,2115.945032081676,2548.821209451847,5400.448098333632,1835.4072708380006
121,GR8,12,58,40.4,14,13,3,0.026000000000000002,26.69,0.12,213.9,14.5,0.2,61.0,0.2,22.6,0.32,0.04,0.04,99.9,99.9,99.9,99.9,11.0,x,u,7.0,0.2,0.0,,2177.709772353159,11000000.0,various,detected_mass,,,2176.50492289409,2695.496795431706,5191.084672730921,1873.5316221562384
122,UGC9128,14,15,56.5,23,3,19,0.023,26.8,0.04,152.0,14.4,0.3,46.0,0.4,22.6,0.64,0.07,0.07,99.9,99.9,99.9,99.9,18.0,x,u,15.0,99.9,56.0,,2290.867652767775,18000000.0,various,detected_mass,,,2288.3778390790844,2683.2911234541875,5932.479905983593,2012.6535735531277
123,UGC8508,13,30,44.4,54,54,36,0.015,27.06,0.03,56.0,13.7,0.1,120.0,0.45,21.5,0.42,0.04,0.04,99.9,99.9,99.9,99.9,29.0,x,u,99.9,99.9,31.2,,2582.260190634596,29000000.0,various,detected_mass,,ok,2583.7102581212207,2608.429560830406,7002.048934694487,2243.6459911712504
124,IC3104,12,18,46.0,-79,43,34,0.41,26.78,0.18,429.0,12.8,9.9,45.0,0.52,23.3,2.01,9.99,9.99,99.9,99.9,99.9,99.9,13.0,x,u,99.9,99.9,999.9,,2269.8648518838213,13000000.0,various,detected_mass,,ok,2265.7314782049853,2929.2180133944685,4354.72804451194,1901.708878004463
125,DDO125,12,27,40.9,43,29,44,0.02,27.06,0.05,194.9,12.7,0.3,112.0,0.41,22.1,1.04,0.1,0.1,99.9,99.9,99.9,99.9,35.0,x,u,7.3,1.5,11.2,,2582.260190634596,35000000.0,various,detected_mass,,ok,2584.0753284243206,2763.566825813909,7058.633795717303,2300.1185406650566
126,UGCA86,3,59,48.3,67,8,19,0.938,27.36,0.17,67.0,14.2,9.9,25.0,0.32,22.8,0.94,9.99,9.99,99.9,99.9,99.9,99.9,860.0,x,u,8.8,1.0,122.0,,2964.831389524339,860000000.0,various,detected_mass,,"ok, tiny rh?",2971.063368034624,2389.441442904198,5215.490706508925,1989.8076382564655
127,DDO99,11,50,53.0,38,52,49,0.026000000000000002,27.07,0.14,251.0,13.9,0.1,70.0,0.29,22.9,0.9,0.09,0.09,99.9,99.9,99.9,99.9,52.0,x,u,99.9,99.9,99.9,,2594.179362118812,52000000.0,various,detected_mass,,ok,2596.5824044731417,2822.7319236681633,7056.2108596702055,2321.0282801147096
128,IC4662,17,47,8.8,-64,38,30,0.07,26.94,0.17,302.0,11.1,0.3,111.0,0.27,18.7,0.48,0.05,0.05,99.9,99.9,99.9,99.9,180.0,x,u,99.9,99.9,99.9,,2443.4305526939715,180000000.0,various,detected_mass,,ok,2436.588514413974,3021.5488746665446,5330.697720995773,2106.481454917559
129,DDO190,14,24,43.4,44,31,33,0.012,27.23,0.03,150.0,12.8,0.1,82.0,0.1,21.4,0.64,0.06,0.06,99.9,99.9,99.9,99.9,43.0,x,u,10.0,2.4,24.7,,2792.5438412373364,43000000.0,various,detected_mass,,ok,2792.058953349635,2914.9872402709557,7635.393148729534,2494.486294415088
130,KKH86,13,54,33.5,4,14,35,0.027000000000000003,27.06,0.16,287.2,17.1,0.3,177.0,0.39,23.2,0.28,0.03,0.03,99.9,99.9,99.9,99.9,0.88,x,u,99.9,99.9,99.9,,2582.260190634596,880000.0,various,detected_mass,,,2578.7044056890813,3153.93828670909,5686.381092952233,2251.0752900795933
131,NGC4163,12,12,9.1,36,10,9,0.02,27.28,0.03,165.0,13.2,0.3,11.0,0.3,21.1,0.45,0.05,0.05,99.9,99.9,99.9,99.9,7.9,x,u,7.4,99.9,8.7,,2857.5905433749494,7900000.0,various,detected_mass,,ok,2859.2947982758546,3117.205037153774,7705.122921805051,2587.7514690630674
132,DDO113,12,14,57.9,36,13,8,0.02,27.35,0.06,284.0,16.4,0.3,999.9,0.0,24.0,0.7,0.07,0.07,99.9,99.9,99.9,99.9,48.0,x,u,99.9,99.9,99.9,(should be 2 based on what is written for time),2951.20922666639,48000000.0,various,detected_mass,,ok,2952.8449939973825,3208.1431971206785,7954.914629103374,2681.3013487961266
133,CetusIII,2,5,19.4,-4,16,12,,22.0,0.2,,19.55,0.6,101.0,0.76,,1.23,0.42,0.19,,,,,,,,,,,http://adsabs.harvard.edu/abs/2018PASJ...70S..18H,,,,,,,255.18260112970978,641.9147549671459,590.9411159338875,-115.46157421392193
134,DESJ0225+0304,2,25,42.4,3,4,10,,16.88,0.06,,15.78,0.5,31.0,0.61,,2.68,1.33,0.7,,,,,,,,,,,http://adsabs.harvard.edu/abs/2017MNRAS.468...97L,,,,,,,29.42420384033695,762.2746981718605,434.36103129805923,-255.64379425027707
135,PictorII,6,44,43.2,-59,53,49,0.107,18.3,0.12,,15.1,0.5,14.0,0.13,,3.6,1.5,0.9,,,,,,,,,,,http://adsabs.harvard.edu/abs/2016ApJ...833L...5D,,,,,,,46.75228830959604,805.6390894699427,486.6479514339413,-224.6436359020087
136,VirgoI,12,0,9.6,0,40,48,19.7,19.7,0.3,,18.9,0.9,51.0,0.44,,1.5,0.4,0.4,,,,,,,,,,,http://adsabs.harvard.edu/abs/2016ApJ...832...21H,,,,,,,87.0790160858362,844.7454144052756,539.8682703078649,-192.676168413961
137,HydrusI,2,29,33.3,-79,18,32,,17.2,0.04,80.4,12.49,0.08,97.0,0.21,,7.42,0.62,0.54,2.7,0.5,,,,,,,,,http://adsabs.harvard.edu/abs/2018MNRAS.479.5343K,,,,,,,25.729596755741934,793.5386426485704,466.38885966111053,-244.87546646880102
138,CarinaII,7,36,25.5,-57,59,57,,17.79,0.05,477.2,13.29,0.1,170.0,0.34,,8.69,0.75,0.75,3.4,1.2,,,,,,,,,http://adsabs.harvard.edu/abs/2018MNRAS.475.5085T,,,,,,"ok, peak in Yong's other plot?",37.341072195133414,802.7646793755071,478.91740456298544,-234.35954444719206
139,CarinaIII,7,38,31.1,-57,53,59,,17.22,0.1,284.6,14.82,0.2,150.0,0.55,,3.75,1.0,1.0,5.6,4.3,,,,,,,,,http://adsabs.harvard.edu/abs/2018MNRAS.475.5085T,,,,,,ok,29.235509004767028,797.3071608471087,470.8795766474103,-241.87320240428562
140,CraterII,11,49,14.4,-18,24,47,,20.35,0.02,87.5,12.15,0.1,,<0.1,,31.2,2.5,2.5,2.7,0.3,,,,,,,,,http://adsabs.harvard.edu/abs/2016MNRAS.459.2370T,,,,,,ok,116.45563044946127,885.8454871367769,574.978821297881,-184.96945463076608
141,AquariusII,22,33,55.5,-9,19,39,,20.16,0.07,-71.1,15.8,0.14,121.0,0.39,,5.1,0.8,0.8,5.4,3.4,,,,,,,,,http://adsabs.harvard.edu/abs/2016MNRAS.463..712T,,,,,,"ok, near edge",105.12145477800244,727.780104819958,456.46717370461926,-200.36472256529794
