id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,r_ell_m1.2_rs15,ell_surf_dist_m1.2_rs15,r_ell_m1.0_rs20,ell_surf_dist_m1.0_rs20,r_ell_m1.5_rs15,ell_surf_dist_m1.5_rs15,r_ell_m1.0_rs25,ell_surf_dist_m1.0_rs25,r_ell_m1.0_rs15,ell_surf_dist_m1.0_rs15,r_ell_m1.5_rs20,ell_surf_dist_m1.5_rs20,r_ell_m1.5_rs25,ell_surf_dist_m1.5_rs25,r_ell_m1.2_rs25,ell_surf_dist_m1.2_rs25,r_ell_m1.2_rs20,ell_surf_dist_m1.2_rs20,mw_dist,m31_dist,r_per,r_per_err,r_apo,r_apo_err,rho_cgm_est,rho_cgm_est_err
31,ReticulumIII,3,45,26.4,-60,27,0,9.999,19.81,0.31,999.9,16.5,0.3,999.9,9.99,99.9,2.4,0.9,0.8,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,91.62204901219992,1010.3740397747455,hi4pi,upper_limit,0.017,no velocity,559.0133476364877,-164.11171385233018,587.0948417716938,-126.70783956900695,530.6193183884919,-181.19888631513737,583.7681636404387,-116.68409824793967,591.70669077015,-137.71641676134686,524.5323529110996,-176.619769753025,520.1340681217654,-172.4180579859944,549.6463090243134,-150.622596872758,553.5731480113213,-157.06390216107272,91.72257344118752,811.4254646497477,,,,,,
32,Indus1,21,8,49.1,-51,9,56,9.999,20.0,0.2,999.9,16.5,0.2,999.9,9.99,99.9,1.26,0.45,0.27,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,-,100.0,1416.0000000000002,hi4pi,upper_limit,0.02,no velocity,559.4342777724388,-161.98957852764912,586.5360737218159,-125.38332871191349,531.5264148463107,-178.83695002350035,582.939323241562,-115.68819464585616,591.5195741244476,-136.0473968409405,524.9613991286211,-174.43979200862495,520.2139935254593,-170.40838188609203,549.3196497472684,-148.9592594135269,553.5615534422018,-155.17739700013144,94.16089673335482,807.7773422819871,,,,,,
33,UrsaMajor(I),10,34,52.8,51,55,12,0.02,19.93,0.1,-55.3,14.4,0.3,71.0,0.8,27.7,11.3,1.7,1.7,7.6,1.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,96.82778562612486,74927.06415228693,hi4pi,upper_limit,1.12877,"josh method, needs fixing",537.7985292014207,-164.24761320337697,561.601617012047,-132.89075640324077,511.6656614554205,-179.39346262935268,557.1539267089222,-125.21589448119596,567.7511061636277,-141.3599690833899,503.584092009017,-176.27399618502494,497.72207651012917,-173.41063861920023,525.3197575334823,-154.2859842579108,530.5611051083192,-159.03355815514368,101.58851861732725,772.8009981396225,101.70270789064665,7.332780160012754,580.8404027695765,303.3207359711373,8.495206101255434e-05,4.87197593272238e-05
34,Grus1,22,56,42.4,-50,9,48,9.999,20.4,0.2,-141.0,17.0,0.3,4.0,0.41,99.9,1.77,0.85,0.39,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,Walker et al. (2016) v_hel = -140.5 km/s,120.22644346174131,2165.8529076975533,hi4pi,upper_limit,0.0211639,ok,578.951710581285,-142.93368046847988,598.8816677901023,-109.54840681039722,554.478676878257,-158.8297555827094,593.259948652039,-101.20389544194728,606.640932002776,-118.81319285695612,544.4223991934857,-155.1471533681728,537.1126833227893,-151.79060946249595,563.3088746892587,-131.73932803033975,569.8866687882586,-137.06002333470641,116.39050010072208,796.5269213481645,115.45449629157818,17.77729115789058,972.6020445833433,428.30776138023873,9.245404902094746e-06,5.987421299082439e-06
35,Pictoris1,4,43,47.4,-50,16,59,9.999,20.3,0.2,999.9,17.2,0.3,78.0,0.47,99.9,0.88,0.27,0.13,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,114.8153621496884,1866.6515417958767,hi4pi,upper_limit,0.02,no velocity,592.8406526557081,-139.54336275642768,614.2905058598473,-103.25776122881615,567.5344078928026,-156.39802386736426,609.0525306037276,-93.82927474384248,621.5274645571483,-113.7230432472366,558.1481033682751,-151.99051112611644,551.3351556298265,-147.97640971763724,578.2523760904526,-126.63722811211288,584.3823207884624,-132.7734895920737,116.56516101783974,816.6471721683197,,,,,,
36,Carina,6,41,36.7,-50,57,58,0.061,20.11,0.13,222.9,11.0,0.5,65.0,0.33,25.5,8.2,1.2,1.2,6.6,1.2,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,105.19618738232236,1127.8098307322118,hi4pi,upper_limit,0.0143947,ok,589.20030864386,-149.79706443215252,616.083342377204,-109.16133954759708,561.2651435701241,-167.97066446673668,612.3698970114741,-97.9771804737031,621.2291692133028,-121.4951410391569,554.5237060501,-162.55561188105807,549.6501910534195,-157.60206356389338,578.7871816621496,-134.37243764320914,583.1537449490088,-141.72970426747256,107.09497988727755,836.1454815567728,93.96790121084375,14.75731435867362,131.4615600410208,36.32178305713472,0.0005983279646925694,0.00024867563330236515
37,Hercules,16,31,2.0,12,47,30,0.063,20.6,0.2,45.2,14.0,0.3,102.0,0.68,27.2,8.6,1.8,1.1,3.7,0.9,99.9,99.9,,gs,u,0.0,0.0,0.0,244+10s  stdev 0.08K,131.82567385564076,,,upper_limit,0.0124405,"images missing, does have velocity",609.1093424839978,-129.84145316820184,628.1741309760791,-93.42878956919391,584.8558895691767,-146.7831339120815,622.2242461944832,-84.00938471657089,636.3855183534118,-103.9208785205475,574.272512442379,-142.30737340847003,566.5799400646031,-138.24227771322546,592.6034134681958,-116.8343848118902,599.5443012976142,-123.00964928758833,126.1418515303427,822.2244501894286,47.96656351699391,28.74138341268553,302.97003709754824,136.04828010738953,1.3093075424429861e-05,6.858606646797388e-06
38,HydraII,12,21,42.1,-31,59,7,0.053,20.64,0.16,303.1,15.8,0.3,28.0,0.01,99.9,1.7,0.3,0.2,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,,134.2764961137864,2558.6132897298457,hi4pi,upper_limit,0.0200434,ok,615.7243232734716,-177.89091850515388,654.3564253104659,-111.90076148386856,582.0379214376119,-202.65491659837838,653.9245702458945,-89.75447772579716,654.9586988301024,-135.76633672185287,581.2370634286297,-192.10895232683296,580.6634567251336,-182.1625176296746,614.4998805638154,-148.35669310064242,615.0109675520034,-162.75597044866677,131.50957037658088,910.7568900760975,128.08541766663103,28.18231910291812,1735.9602164394971,1106.0009461626034,7.902958997099986e-06,6.590651818543013e-06
39,Fornax,2,39,59.3,-34,26,57,0.021,20.84,0.18,55.3,7.4,0.3,41.0,0.3,23.3,16.6,1.2,1.2,11.7,0.9,0.0,0.0,0.0,x,u,0.0,0.0,0.0,,147.23125024327194,,,upper_limit,0.0248619,"keep as limit at core, MC had 0.17",598.6021359484965,-123.36152551368627,607.3872457194415,-95.3663463167871,579.4166461463002,-137.50707757926295,598.6097776174336,-89.0979581529687,619.4302389503745,-102.38584247964606,564.1532333392378,-135.11436144039357,552.9754312856104,-132.94048621792567,574.5448430227776,-115.29005686993641,584.7009694698174,-119.11208507183264,149.40381092937437,766.0602826549687,104.32807071005156,30.19563324456153,180.44804016177312,57.60693064715228,0.001704255166270869,0.000774358170786686
40,LeoIV,11,32,57.0,0,32,0,0.026000000000000002,20.94,0.09,132.3,15.1,0.4,121.0,0.49,27.5,4.6,0.8,0.8,3.3,1.7,99.9,99.9,,gs,u,0.0,0.0,0.0,172+2  stdev 0.095K noisier region getting into galactic,154.17004529495617,,,upper_limit,0.018579,"images missing, does have velocity",662.1651991951754,-113.36601620836085,686.048291088421,-64.36241806905929,635.3420492366363,-134.37621336187286,681.3463697168129,-50.33213466091275,692.5574975640526,-80.08620033855082,626.9433788816704,-126.74310721071755,620.8653137486264,-119.8040964308246,649.0925118613965,-92.86451434673755,654.5776762421042,-102.60890146381993,154.8307908237556,895.1866270605733,148.7777066945814,24.757811538891744,1963.6737090158786,1218.8734728180395,7.763469994758829e-06,9.568685799344375e-06
41,CanesVenaticiII,12,57,10.0,34,19,15,0.01,21.02,0.06,-128.9,16.1,0.5,177.0,0.52,26.1,1.6,0.3,0.3,4.6,1.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,196+34 stdev 0.076K,159.9558028614668,474.21009000000004,hi4pi,upper_limit,0.01308899,"images missing, does have velocity",667.5679355954912,-95.64168799071818,676.3889018529711,-60.281151608982505,647.7379373642543,-112.3891682105809,667.3350680577008,-51.433045363070185,688.8266074327263,-70.25301568857218,632.0632482408296,-108.05431874225432,620.6067998497452,-104.15477434027869,642.8149228260039,-83.17272461008452,653.2549661401735,-89.06144273642914,160.59157403189548,833.1509980872378,147.2820897855479,36.483757212413536,952.9887602789777,562.68294208688,2.832852199623396e-05,2.295350554477729e-05
42,LeoV,11,31,9.6,2,13,12,0.027000000000000003,21.25,0.12,173.3,16.0,0.4,96.0,0.5,27.1,2.6,0.6,0.6,3.7,2.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,172+2 stdev 0.08K rounding up,177.82794100389228,28.00471,hi4pi,upper_limit,0.020724623,ok,700.409561733066,-89.61048504756617,719.2567653515704,-40.21401549114015,675.7293419738489,-110.94411217855081,713.010251183108,-26.29524708701125,727.8855450726247,-55.98089500147127,664.7238635982261,-103.04908510318214,656.7374577074675,-95.92043001037555,683.1693951013242,-68.75528383416919,690.4136701590302,-78.6256019484397,178.6330425684978,910.71614150683,167.17424919741254,22.779145906557915,2091.2501801285325,1160.092465993198,8.188543796166002e-06,9.328581323291973e-06
43,PiscesII,22,58,31.0,5,57,9,0.065,21.3,9.99,-227.0,16.3,0.5,77.0,0.4,25.7,1.1,0.1,0.1,5.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,"348+2s.mir - Kirby et al. (2015) -226.5 km/s, dis = 5.4 km/s 0.04K except about 30 km/s to -80 (nasty baseline, mag st through region, clear at position, but interesting that diffuse elevated)",181.97008586099827,321.42495,galfa,upper_limit,0.0374291,,467.6435227634078,-173.5586575286933,479.9266418289156,-154.777470806117,448.1930853049331,-184.29949387732057,472.7403142704,-151.68270202282173,489.7805025307275,-158.2023129067969,435.4173430947688,-184.25079770485652,426.0426488500605,-184.15630611063807,447.70254367717996,-170.8134343680747,456.12715055729683,-172.13160912747816,181.09930613492924,655.8643249630317,181.38600403801848,20.877344806884775,2751.8126738080337,1562.454856683106,1.4329137390878322e-05,2.079970384073588e-05
44,ColumbaI,5,31,26.4,-28,1,48,9.999,21.3,0.22,999.9,16.8,0.2,999.9,9.99,99.9,1.9,0.5,0.4,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not velocity,181.97008586099827,5157.698348212833,hi4pi,upper_limit,0.022,no velocity,705.2779206995317,-73.262154278947,703.3654086387235,-41.73053633254155,690.0811243431345,-88.78879115115015,691.0574836821703,-34.35522194292512,720.1922723842067,-50.098477586827535,669.2626498148426,-85.37066116880726,653.9627128550887,-82.3147228690858,672.0560744570338,-63.02459170522409,686.1105431121636,-67.84182745701958,186.61959617597867,818.5654324067178,,,,,,
45,Pegasus3,22,24,22.6,5,25,12,9.999,21.56,0.2,999.9,17.5,0.5,133.0,0.46,99.9,1.3,0.5,0.4,99.9,99.9,99.9,99.9,,g,unv,99.9,99.9,999.9,340+2s.mir - not seeing  ~0.06K void 30 to -60 km/s about,205.11621788255627,,,upper_limit,0.05,no velocity,518.616814914208,-146.87726364970595,520.526973738835,-128.8908234357123,503.90147758940793,-157.36425180157278,510.36990595617317,-126.10861927151512,534.3807448878238,-131.99123450080583,486.4679524765672,-157.4733624742852,473.60251437157297,-157.5279036357508,490.96486237117654,-144.55032800848517,502.685150080562,-145.6643970856569,203.14387726241037,657.3812407659716,,,,,,
46,IndusI?,20,38,52.8,-46,9,36,9.999,21.65,0.16,999.9,17.4,0.2,999.9,9.99,99.9,2.9,1.1,1.0,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,999.9,- not seeing,213.79620895022325,6148.750326699301,hi4pi,upper_limit,0.019,no velocity,758.0379928355688,-49.142154189580964,752.4778231843815,-14.780181323110982,743.9768789316594,-65.73466354328018,738.8495675377429,-6.490690889222937,771.0964877711973,-24.24712805789055,721.1024110972727,-61.50906539928667,704.2824401370593,-57.7535501978651,721.4113724354187,-37.171162180441854,736.9119395305903,-42.78869464886254,207.2955948970433,851.770514744259,,,,,,
47,CanesVenatici(I),13,28,3.5,33,33,21,0.013999999999999999,21.69,0.1,30.9,13.1,0.2,70.0,0.39,27.1,8.9,0.4,0.4,7.6,0.4,99.9,99.9,,gs,u,0.0,0.0,0.0,"204+34 0.06K would benefit from unsharp mask as close to Galactic, baselines generally look quite good, but can see Josh’s point on velocity on-off on this one as baseline going up and down with position",217.7709772353159,,,upper_limit,0.0153018,"images missing, does have velocity",779.9729066737273,-38.68696822205098,771.7377891055233,-4.039554178972787,766.8955190843136,-55.417742976617234,757.2126309265124,-4.309842399682532,791.5653808485586,-13.601353689073047,742.6366379590245,-51.08513812414462,724.7839431193194,-47.24416428760327,741.0447624038276,-26.524470504626354,757.5273264881754,-32.224505601487806,217.53232192670862,859.6165859273929,126.55986771340122,54.48801221199192,386.14368069880845,164.98262623827426,0.00010299878382757319,4.935139705042325e-05
48,LeoII,11,13,28.8,22,9,6,0.017,21.84,0.13,78.0,12.0,0.3,12.0,0.13,24.2,2.6,0.6,0.6,6.6,0.7,99.9,99.9,0.0,x,u,0.0,0.0,0.0,172+18  0.08K towards edge of the cube,233.34580622810043,893.58639,hi4pi,upper_limit,0.01158971,ok,820.2628169643469,-20.29542047276697,811.6755201895955,-18.53765802096279,806.958443050149,-38.554070674799554,796.8547837809582,-28.265684811191804,831.9198325346331,-7.3286733305173515,782.2227272648668,-33.044065846939596,764.0357276553161,-28.175891545402084,780.558300361692,-5.568306765806787,797.3618926635742,-12.45688519741088,235.93366939357324,897.2215213955777,150.39648852481258,77.31952607756102,347.39241821422917,201.33928830514714,0.0005073352749381928,0.0003180448253063831
49,LeoI,10,8,28.1,12,18,23,0.036000000000000004,22.02,0.13,282.5,10.0,0.3,79.0,0.21,22.6,3.4,0.3,0.3,9.2,1.4,0.0,0.0,,gs,u,0.0,0.0,0.0,156+10  0.09K towards edge,253.5128630497907,,,upper_limit,0.031631,check HI4PI,863.5569254270998,0.42722529577405316,850.7394370013179,40.59748342514134,851.6978695132211,18.391587987826707,834.4395765446055,-50.68889261040834,872.980833026245,28.900435649796314,824.6796350390917,-12.442352050344983,804.7945914582357,-7.209545821812446,820.0587896420113,-16.015200766611308,838.4789207570137,-8.742536323569807,257.39408344397714,917.8041500605676,108.16208220236015,62.161679196757056,621.1445226920938,159.27767607503407,0.0004322811924676003,0.0002116189174835311
50,#Andromeda,0,42,44.3,41,16,9,0.684,24.47,0.07,-300.0,99.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,,,,,,,305.59457140114915,-295.89093755792817,265.43922400856155,-295.34050534640625,340.0134385045885,-295.42783554202975,265.4392224104624,-294.4383334103054,265.4392262390636,-296.2574520403101,340.0134364474118,-294.2580615851731,340.01343497572003,-293.09675563376294,305.5945677002532,-293.83780074179003,305.59456924412535,-294.8586767631885,787.4587084604696,4.429646594539807,,,,,,
51,M32,0,42,41.8,40,51,55,0.154,24.53,0.21,-199.0,8.1,0.1,159.0,0.25,11.1,0.47,0.05,0.05,92.0,5.0,55.0,3.0,0.0,x,u,0.0,0.0,0.0,,805.3784411990677,176702.82413085186,hi4pi,upper_limit,0.0384778,ok,327.87362136045255,-286.5125398155905,287.69620851395456,-285.6091531307788,362.27321672927945,-285.8565641253553,287.66778978857997,-284.25971676466884,287.7358684596097,-287.01846267197266,362.2360030830474,-284.13564834641727,362.2093783203734,-282.4714522619377,327.80713408617197,-283.4687090254116,327.8348716712981,-284.9617244498051,809.3926515062443,26.96192681629513,,,,,,
52,AndromedaIX,0,52,53.0,43,11,45,0.075,24.42,0.07,-209.4,16.3,1.1,999.9,9.99,28.0,2.5,0.1,0.1,10.9,2.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,765.5966069112569,55334.62428808137,hi4pi,upper_limit,0.0133341,ok,303.18338675809275,-263.2293190086226,262.31833630110884,-263.0020733498019,336.6246226004056,-262.99722051657045,261.0878480141933,-262.5738870242738,264.02616829110343,-263.4129390412987,335.0435185658594,-262.4222505256471,333.90781255118304,-261.822825399492,300.3382234756726,-262.23650648617877,301.5283803983275,-262.74345011825585,769.9102065544594,38.6579818764123,,,,,,
53,NGC205,0,40,22.1,41,41,7,0.085,24.58,0.07,-246.0,8.1,0.1,28.0,0.43,19.2,2.46,0.1,0.1,35.0,5.0,11.0,5.0,0.4,x,u,16.1,99.9,0.0,,824.1381150130012,400000.0,various,detected_mass,,"Young & Lo 1997, seems solid, though they do say there could be residual M31 contamination",347.0572822159851,-279.8786103671727,306.84490567371506,-278.61315125160115,381.4357633448854,-279.0616042102656,306.77968960614356,-276.8390973378743,306.9359060028069,-280.488049681391,381.349255782645,-276.82454335581804,381.2873567545543,-274.687145418056,346.9035354095027,-275.90197278130114,346.96768097436023,-277.8405504172531,828.1245265842052,45.933996276145095,,,,,,
54,AndromedaI,0,45,39.8,38,2,28,0.053,24.36,0.07,-376.3,12.5,0.1,22.0,0.22,24.7,3.1,0.3,0.3,10.2,1.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,744.7319739059889,75490.19896782096,hi4pi,upper_limit,0.0192246,ok,289.3244099028203,-259.9000737484864,248.35476008480907,-259.89197610607494,322.17095052640104,-259.8878629083305,246.54263396715297,-259.8367493853149,250.86210018041695,-259.89152575290655,319.867699485256,-259.79435016503004,318.2097384772321,-259.6337715168337,285.1623603940926,-259.75681159583337,286.9059482547284,-259.8591615726002,748.7238656759272,55.41448211268955,,,,,,
55,AndromedaXVII,0,37,7.0,44,19,20,0.07400000000000001,24.31,0.11,-251.6,15.8,0.4,122.0,0.27,25.7,1.24,0.08,0.08,2.9,2.2,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,727.7798045368243,41792.441494908395,hi4pi,upper_limit,0.0111446,ok,272.07835393964274,-263.7678816568457,231.36347321101007,-263.8774422828821,304.80089099010934,-263.9235180131549,229.5658373896264,-264.0688034921115,233.84937087537443,-263.6025966326144,302.5513481674617,-264.15464191474496,300.93172096067616,-264.28687074484236,267.9878888131288,-264.1932591745949,269.70181635434966,-264.02617531152146,731.7798431158176,66.45885781302664,,,,,,
56,AndromedaXXVII,0,37,27.1,45,23,13,0.08,24.59,0.12,-539.6,16.7,0.5,150.0,0.4,27.6,1.8,0.3,0.3,14.8,4.3,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,827.9421637123345,91039.81474305879,hi4pi,upper_limit,0.0187585,ok,384.7935783390292,-228.43870174443256,342.04079761076844,-227.35363059142378,417.6861970273762,-227.69556282495208,339.33074065878054,-225.81574938699057,345.7877752123055,-229.00445009354445,414.0252911072333,-225.73143548902166,411.3863120056876,-223.88432501055792,378.3423233493487,-224.96335823240636,381.0468182240124,-226.64407385676532,831.9765970253277,76.85764106523405,,,,,,
57,AndromedaIII,0,35,33.8,36,29,52,0.055999999999999994,24.37,0.07,-344.3,14.2,0.3,136.0,0.52,24.8,2.2,0.2,0.2,9.3,1.4,99.9,99.9,0.0,x,u,0.0,0.0,0.0,"004+34, m31",748.1695005111552,12493.332540000001,galfa,upper_limit,0.086061373,ok,318.9996400405814,-237.76891161011912,276.7378815529836,-237.77350322187905,350.36897878669674,-237.7725726398688,272.967866589363,-237.74657230487168,281.91549741168046,-237.74784082376567,345.4579670525296,-237.71803657417172,341.901378512728,-237.600560099171,310.218399492564,-237.69221548077863,313.91146091225335,-237.75949075987063,751.8574558346219,73.03775990457883,,,,,,
58,AndromedaXXV,0,30,8.9,46,51,7,0.10099999999999999,24.55,0.12,-107.8,14.8,0.5,170.0,0.25,27.1,3.0,0.2,0.2,3.0,1.2,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,812.8305161640995,104440.15804667487,hi4pi,upper_limit,0.0223272,"high background, smoothed cube may make this limit worse",402.5249175402905,-207.65809410663593,357.5263351747084,-206.95879583365675,434.08115103183394,-207.1052778697527,352.44531021693757,-205.89577177225223,364.49963624954546,-208.0957570333321,427.1746347119165,-205.7260454354578,422.1644314369031,-204.42387569546665,390.39531642700945,-205.2336357885784,395.5005482572041,-206.40849800215045,816.7524348119018,90.19053704338167,,,,,,
59,AndromedaXXVI,0,23,45.6,47,54,58,0.11,24.41,0.12,-261.6,17.3,0.5,145.0,0.25,27.4,1.0,0.1,0.1,8.6,2.8,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,762.0790100254115,50044.453596407686,hi4pi,upper_limit,0.0121709,ok,384.68108033434316,-202.50753185780763,338.89380042780806,-202.46720528416435,414.2338952378746,-202.45780040968603,331.6769930502094,-202.3629157255655,348.7168437683832,-202.53754543862536,404.48730805056346,-202.3045692112393,397.36799886803993,-202.1103429663673,367.52829337258356,-202.25497003173314,374.7792286018273,-202.40006081675818,765.9014617762692,101.57666854836707,,,,,,
60,AndromedaV,1,10,17.1,47,37,41,0.125,24.44,0.08,-403.0,14.9,0.2,32.0,0.18,25.3,1.4,0.2,0.2,11.5,5.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,772.6805850957021,80461.55479625608,hi4pi,upper_limit,0.0190351,ok,409.5509101911541,-191.8914193346189,362.3968279032564,-191.77057523779624,438.98323179789196,-191.75630338829978,354.3238101632032,-191.52918546213994,373.3727967557145,-191.99740793206334,427.9783642601571,-191.4245052297201,419.9286268170669,-191.07371949252905,390.2632104389155,-191.32448798012584,398.4228279917818,-191.61645049726437,777.4449073893646,108.84272467512164,,,,,,
61,AndromedaXI,0,46,20.0,33,48,5,0.08,24.33,0.05,-419.6,17.5,1.2,999.9,9.99,26.5,0.71,0.03,0.03,4.6,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,"012+34, m31",734.5138681571144,9268.51441,hi4pi,upper_limit,0.0121324,ok,359.5688783345024,-209.09005776145673,314.8043749971843,-209.23071627279526,388.35198258497974,-209.30418199531297,307.49245516787585,-209.50649859948064,324.7346407005322,-208.87399263224086,378.56886374312603,-209.65550955248767,371.4119967895044,-209.91199735872974,342.2839883872708,-209.71858305934572,349.59849127853977,-209.4482848470587,738.3651040097202,108.50015720712128,,,,,,
62,AndromedaXIX,0,19,32.1,35,2,37,0.062,24.57,0.08,-111.6,15.6,0.6,37.0,0.17,29.3,6.2,0.1,0.1,4.7,1.6,99.9,99.9,,gs,u,99.9,99.9,99.9,"004+34, m31",820.3515443298177,,,upper_limit,0.0360227,"check HI4PI, ok, note nearby cloud elevates limit",447.3955598029603,-182.32945472787782,399.2583219186579,-181.64096471132285,478.0074598921555,-181.78189909123876,391.62706964118524,-180.6005651387018,409.6718344072512,-182.7645584407279,467.4817437720143,-180.42825663681307,459.80388802041966,-179.16283312503293,429.035448175745,-179.95177236536153,436.7884154797955,-181.0981714278424,823.5699393732219,115.21287642163914,,,,,,
63,AndromedaXXIII,1,29,21.8,38,43,8,0.066,24.43,0.13,-237.7,14.2,0.5,138.0,0.4,28.0,4.6,0.2,0.2,7.1,1.0,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,769.1304402866098,81961.66420634136,hi4pi,upper_limit,0.0195694,ok,437.74890784194383,-176.7533911547861,388.47792855690693,-176.70519512605222,466.3384766071994,-176.69488129365013,378.5147207492748,-176.59140307145955,401.9711423199908,-176.79322127344415,452.62681316396913,-176.53096472180553,442.55697956282165,-176.33584496680837,413.8238884621036,-176.48022577698157,423.9686545868401,-176.63113361050773,774.1494641014351,125.60122790382326,,,,,,
64,AndromedaXX,0,7,30.7,35,7,56,0.059000000000000004,24.35,0.12,-456.2,18.2,0.8,80.0,0.3,26.2,0.53,0.14,0.04,7.1,3.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,004+34,741.3102413009177,10819.92472,galfa,upper_limit,0.0759196,ok,407.58262055204415,-186.12688823568956,359.84762458183735,-186.26919601474714,435.3045522107454,-186.34487078677486,350.021225735085,-186.55201477745567,373.13014846409925,-185.90929741011743,421.8863661912608,-186.70868680495764,412.0190320223627,-186.98249559886708,384.0911648379215,-186.77457349591575,394.0611844734505,-186.49252130551798,744.2285037912894,128.09612729926886,,,,,,
65,AndromedaXIII,0,51,51.0,33,0,16,0.08199999999999999,24.62,0.05,-185.4,18.1,1.2,999.9,9.99,27.3,0.78,0.08,0.08,5.8,2.0,99.9,99.9,0.0,x,u,0.0,0.0,0.0,012+34,839.4599865193982,13897.46464,galfa,upper_limit,0.076044,ok,484.7789385831747,-166.1695183886614,434.5907948986558,-165.22398507766334,515.3984544444493,-165.4881357516565,425.8017544484805,-163.87706200144743,446.56874392739286,-166.69771255626333,503.1564503041877,-163.74794118325863,494.21256239895473,-162.14332233074202,463.51824989649623,-163.1024807110633,472.50370765435207,-164.57098724382936,843.4151125826169,133.7475840660747,,,,,,
