,GalaxyName,RA_hr,RA_min,RA_sec,Dec_hr,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,dist_pc,dist_kpc,dist_mpc,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,GNV,HNV,LIT,HRU
41,CanesVenaticiII,12.0,57.0,10.0,34.0,19.0,15.0,0.01,21.02,0.06,0.06,-128.9,16.1,0.5,0.5,177.0,0.52,26.1,1.6,0.3,0.3,4.6,1.0,1.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,21.02,196+34 stdev 0.076K,,,159955.8028614668,159.9558028614668,0.1599558028614668,2371.044611698523,hi4pi,upper_limit,0.013088999999999998,1.6,hi4pi_unresolved_undetected,,,,2371.044611698523,,,,
42,LeoV,11.0,31.0,9.6,2.0,13.0,12.0,0.027000000000000003,21.25,0.12,0.12,173.3,16.0,0.4,0.4,96.0,0.5,27.1,2.6,0.6,0.6,3.7,2.3,1.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,21.25,172+2 stdev 0.08K rounding up,,,177827.94100389228,177.82794100389228,0.1778279410038923,3249.8742066977734,galfa,upper_limit,0.079254866,2.6,galfa_unresolved_undetected,,3249.8742066977734,,,,,,
43,PiscesII,22.0,58.0,31.0,5.0,57.0,9.0,0.065,21.3,9.99,9.99,-227.0,16.3,0.5,0.5,77.0,0.4,25.7,1.1,0.1,0.1,5.4,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.3,"348+2s.mir - Kirby et al. (2015) -226.5 km/s, dis = 5.4 km/s 0.04K except about 30 km/s to -80 (nasty baseline, mag st through region, clear at position, but interesting that diffuse elevated) ",,,181970.08586099825,181.97008586099827,0.18197008586099825,,,,,1.1,,,,,,,,,
44,ColumbaI,5.0,31.0,26.4,-28.0,1.0,48.0,9.999,21.3,0.22,0.22,999.9,16.8,0.2,0.2,999.9,9.99,99.9,1.9,0.5,0.4,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.3,- not velocity,,,181970.08586099825,181.97008586099827,0.18197008586099825,5157.698348212833,hi4pi,upper_limit,0.022000000000000002,1.9,hi4pi_no_velocity,,,,,,5157.698348212833,,
45,Pegasus3,22.0,24.0,22.6,5.0,25.0,12.0,9.999,21.56,0.2,0.2,999.9,17.5,0.5,0.5,133.0,0.46,99.9,1.3,0.5,0.4,99.9,99.9,99.9,99.9,99.9,99.9,3.43,g,unv,99.9,99.9,99.9,999.9,,21.56,340+2s.mir - not seeing  ~0.06K void 30 to -60 km/s about,,,205116.21788255626,205.11621788255627,0.20511621788255627,2727.7880301848504,galfa,upper_limit,0.05,1.3,galfa_no_velocity,,,,,2727.7880301848504,,,
46,IndusI?,20.0,38.0,52.8,-46.0,9.0,36.0,9.999,21.65,0.16,0.16,999.9,17.4,0.2,0.2,999.9,9.99,99.9,2.9,1.1,1.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.65,- not seeing,,,213796.20895022326,213.79620895022325,0.21379620895022325,6148.750326699301,hi4pi,upper_limit,0.019,2.9,hi4pi_no_velocity,,,,,,6148.750326699301,,
47,CanesVenatici(I),13.0,28.0,3.5,33.0,33.0,21.0,0.013999999999999999,21.69,0.1,0.1,30.9,13.1,0.2,0.2,70.0,0.39,27.1,8.9,0.4,0.4,7.6,0.4,0.4,99.9,99.9,99.9,3.6,gs,u,0.0,0.0,0.0,0.0,,21.69,"204+34 0.06K would benefit from unsharp mask as close to Galactic, baselines generally look quite good, but can see Josh’s point on velocity on-off on this one as baseline going up and down with position",,,217770.97723531592,217.7709772353159,0.2177709772353159,5137.783255119092,hi4pi,upper_limit,0.0153018,8.9,hi4pi_unresolved_undetected,,,,5137.783255119092,,,,
48,LeoII,11.0,13.0,28.8,22.0,9.0,6.0,0.017,21.84,0.13,0.13,78.0,12.0,0.3,0.3,12.0,0.13,24.2,2.6,0.6,0.6,6.6,0.7,0.7,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,21.84,172+18  0.08K towards edge of the cube,,,233345.80622810044,233.34580622810043,0.23334580622810044,4467.924511197437,hi4pi,upper_limit,0.01158971,2.6,hi4pi_unresolved_undetected,,,,4467.924511197437,,,,
49,LeoI,10.0,8.0,28.1,12.0,18.0,23.0,0.036000000000000004,22.02,0.13,0.13,282.5,10.0,0.3,0.3,79.0,0.21,22.6,3.4,0.3,0.3,9.2,1.4,1.4,0.0,0.0,0.0,4.02,gs,u,0.0,0.0,0.0,0.0,,22.02,156+10  0.09K towards edge,,,253512.8630497907,253.5128630497907,0.2535128630497907,10554.74161280725,galfa,upper_limit,0.031631,,galfa_resolved_undetected,,,10554.74161280725,,,,,
50,#Andromeda,0.0,42.0,44.3,41.0,16.0,9.0,0.684,24.47,0.07,0.07,-300.0,99.9,9.9,9.9,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,,,,,783429.642766212,783.4296427662119,0.783429642766212,,,,,,,,,,,,,,
51,M32,0.0,42.0,41.8,40.0,51.0,55.0,0.154,24.53,0.21,0.21,-199.0,8.1,0.1,0.1,159.0,0.25,11.1,0.47,0.05,0.05,92.0,5.0,5.0,55.0,3.0,3.0,0.0,x,u,0.0,0.0,0.0,0.0,,24.53,,,,805378.4411990676,805.3784411990677,0.8053784411990677,176702.82413085186,hi4pi,upper_limit,0.0384778,0.47,hi4pi_unresolved_undetected,,,,176702.82413085186,,,,
52,AndromedaIX,0.0,52.0,53.0,43.0,11.0,45.0,0.075,24.42,0.07,0.07,-209.4,16.3,1.1,1.1,999.9,9.99,28.0,2.5,0.1,0.1,10.9,2.0,2.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.42,,,,765596.6069112569,765.5966069112569,0.7655966069112569,55334.62428808137,hi4pi,upper_limit,0.013334100000000002,2.5,hi4pi_unresolved_undetected,,,,55334.62428808137,,,,
53,NGC205,0.0,40.0,22.1,41.0,41.0,7.0,0.085,24.58,0.07,0.07,-246.0,8.1,0.1,0.1,28.0,0.43,19.2,2.46,0.1,0.1,35.0,5.0,5.0,11.0,5.0,5.0,0.4,x,u,16.1,99.9,99.9,0.0,,24.58,,,,824138.1150130013,824.1381150130012,0.8241381150130013,400000.0,literature,detected_mass,,,literature,,,,,,,400000.0,
54,AndromedaI,0.0,45.0,39.8,38.0,2.0,28.0,0.053,24.36,0.07,0.07,-376.3,12.5,0.1,0.1,22.0,0.22,24.7,3.1,0.3,0.3,10.2,1.9,1.9,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.36,,,,744731.9739059889,744.7319739059889,0.7447319739059889,75490.19896782096,hi4pi,upper_limit,0.019224599999999998,3.1,hi4pi_unresolved_undetected,,,,75490.19896782096,,,,
55,AndromedaXVII,0.0,37.0,7.0,44.0,19.0,20.0,0.07400000000000001,24.31,0.11,0.08,-251.6,15.8,0.4,0.4,122.0,0.27,25.7,1.24,0.08,0.08,2.9,2.2,1.9,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.31,,,,727779.8045368242,727.7798045368243,0.7277798045368242,41792.441494908395,hi4pi,upper_limit,0.0111446,1.24,hi4pi_unresolved_undetected,,,,41792.441494908395,,,,
56,AndromedaXXVII,0.0,37.0,27.1,45.0,23.0,13.0,0.08,24.59,0.12,0.12,-539.6,16.7,0.5,0.5,150.0,0.4,27.6,1.8,0.3,0.3,14.8,4.3,3.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.59,,,,827942.1637123345,827.9421637123345,0.8279421637123344,91039.81474305879,hi4pi,upper_limit,0.0187585,1.8,hi4pi_unresolved_undetected,,,,91039.81474305879,,,,
57,AndromedaIII,0.0,35.0,33.8,36.0,29.0,52.0,0.055999999999999994,24.37,0.07,0.07,-344.3,14.2,0.3,0.3,136.0,0.52,24.8,2.2,0.2,0.2,9.3,1.4,1.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.37,"004+34, m31",,,748169.5005111552,748.1695005111552,0.7481695005111553,62466.74628965963,galfa,upper_limit,0.08606137300000001,2.2,galfa_unresolved_undetected,,62466.74628965963,,,,,,
58,AndromedaXXV,0.0,30.0,8.9,46.0,51.0,7.0,0.10099999999999999,24.55,0.12,0.12,-107.8,14.8,0.5,0.5,170.0,0.25,27.1,3.0,0.2,0.2,3.0,1.2,1.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.55,,,,812830.5161640996,812.8305161640995,0.8128305161640995,104440.15804667487,hi4pi,upper_limit,0.022327200000000002,3.0,hi4pi_unresolved_undetected,,,,104440.15804667487,,,,
59,AndromedaXXVI,0.0,23.0,45.6,47.0,54.0,58.0,0.11,24.41,0.12,0.12,-261.6,17.3,0.5,0.5,145.0,0.25,27.4,1.0,0.1,0.1,8.6,2.8,2.2,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.41,,,,762079.0100254115,762.0790100254115,0.7620790100254115,50044.453596407686,hi4pi,upper_limit,0.0121709,1.0,hi4pi_unresolved_undetected,,,,50044.453596407686,,,,
60,AndromedaV,1.0,10.0,17.1,47.0,37.0,41.0,0.125,24.44,0.08,0.08,-403.0,14.9,0.2,0.2,32.0,0.18,25.3,1.4,0.2,0.2,11.5,5.3,4.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.44,,,,772680.5850957021,772.6805850957021,0.7726805850957021,80461.55479625608,hi4pi,upper_limit,0.0190351,1.4,hi4pi_unresolved_undetected,,,,80461.55479625608,,,,
61,AndromedaXI,0.0,46.0,20.0,33.0,48.0,5.0,0.08,24.33,0.05,0.05,-419.6,17.5,1.2,1.2,999.9,9.99,26.5,0.71,0.03,0.03,4.6,99.9,99.9,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,24.33,"012+34, m31",,,734513.8681571144,734.5138681571144,0.7345138681571144,46342.55543034587,hi4pi,upper_limit,0.0121324,0.71,hi4pi_unresolved_undetected,,,,46342.55543034587,,,,
62,AndromedaXIX,0.0,19.0,32.1,35.0,2.0,37.0,0.062,24.57,0.08,0.43,-111.6,15.6,0.6,0.6,37.0,0.17,29.3,6.2,0.1,0.1,4.7,1.6,1.4,99.9,99.9,99.9,5.13,gs,u,99.9,99.9,99.9,99.9,,24.57,"004+34, m31",,,820351.5443298176,820.3515443298177,0.8203515443298176,134644.9430959646,galfa,upper_limit,0.0360227,6.2,galfa_resolved_undetected,,,134644.9430959646,171636.448270038,,,,
63,AndromedaXXIII,1.0,29.0,21.8,38.0,43.0,8.0,0.066,24.43,0.13,0.13,-237.7,14.2,0.5,0.5,138.0,0.4,28.0,4.6,0.2,0.2,7.1,1.0,1.0,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.43,,,,769130.4402866098,769.1304402866098,0.7691304402866098,81961.66420634136,hi4pi,upper_limit,0.0195694,4.6,hi4pi_unresolved_undetected,,,,81961.66420634136,,,,
64,AndromedaXX,0.0,7.0,30.7,35.0,7.0,56.0,0.059000000000000004,24.35,0.12,0.16,-456.2,18.2,0.8,0.8,80.0,0.3,26.2,0.53,0.14,0.04,7.1,3.9,2.5,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.35,004+34,,,741310.2413009177,741.3102413009177,0.7413102413009177,54099.65881952437,galfa,upper_limit,0.0759196,0.53,galfa_unresolved_undetected,,54099.65881952437,,,,,,
65,AndromedaXIII,0.0,51.0,51.0,33.0,0.0,16.0,0.08199999999999999,24.62,0.05,0.05,-185.4,18.1,1.2,1.2,999.9,9.99,27.3,0.78,0.08,0.08,5.8,2.0,2.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,(206)(207),24.62,012+34,,,839459.9865193982,839.4599865193982,0.8394599865193981,69487.32097704902,galfa,upper_limit,0.076044,0.78,galfa_unresolved_undetected,,69487.32097704902,,,,,,
66,AndromedaX,1.0,6.0,33.7,44.0,48.0,16.0,0.129,24.13,0.08,0.13,-164.1,16.6,1.0,1.0,46.0,0.44,26.3,1.3,0.1,0.1,6.4,1.4,1.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,201)(202),24.13,,,,669884.6094165258,669.8846094165258,0.6698846094165258,34335.10731737203,hi4pi,upper_limit,0.010806999999999999,1.3,hi4pi_unresolved_undetected,,,,34335.10731737203,,,,
67,AndromedaXXI,23.0,54.0,47.7,42.0,28.0,15.0,0.09300000000000001,24.59,0.06,0.07,-362.5,14.8,0.6,0.6,110.0,0.2,27.0,3.5,0.3,0.3,4.5,1.2,1.0,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.59,,,,827942.1637123345,827.9421637123345,0.8279421637123344,68938.08398953959,hi4pi,upper_limit,0.014204499999999998,3.5,hi4pi_unresolved_undetected,,,,68938.08398953959,,,,
68,AndromedaXXXII,0.0,35.0,59.4,51.0,33.0,35.0,0.193,24.45,0.14,0.14,999.9,12.2,0.7,0.7,-90.0,0.5,26.4,6.5,1.2,1.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,24.45,- not seeing,,,776247.1166286911,776.2471166286911,0.7762471166286911,59725.706171690224,hi4pi,upper_limit,0.013999999999999999,,hi4pi_no_velocity,,,,,,59725.706171690224,,
69,NGC147,0.0,33.0,12.1,48.0,30.0,32.0,0.172,24.15,0.09,0.09,-193.1,9.5,0.1,0.1,25.0,0.41,21.2,3.17,9.99,9.99,16.0,1.0,1.0,17.0,2.0,2.0,0.0,x,u,0.0,0.0,0.0,0.0,,24.15,,,,676082.9753919819,676.0829753919819,0.6760829753919819,67278.97883786725,hi4pi,upper_limit,0.0207896,3.17,hi4pi_unresolved_undetected,,,,67278.97883786725,,,,
70,AndromedaXXX,0.0,36.0,34.9,49.0,38.0,48.0,0.166,24.17,0.1,0.26,-139.8,16.2,0.3,0.3,999.9,9.99,99.9,1.35,0.12,0.18,11.8,7.7,4.7,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,24.17,,,,682338.6941416705,682.3386941416704,0.6823386941416705,40179.86383908407,hi4pi,upper_limit,0.0121892,1.35,hi4pi_unresolved_undetected,,,,40179.86383908407,,,,
71,AndromedaXIV,0.0,51.0,35.0,29.0,41.0,49.0,0.06,24.5,0.06,0.56,-480.6,15.9,0.5,0.5,999.9,0.31,27.2,1.7,0.8,0.8,5.3,1.0,1.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,202),24.5,012+26,,,794328.2347242822,794.3282347242822,0.7943282347242822,23761.7027596508,galfa,upper_limit,0.029042697000000003,1.7,galfa_unresolved_undetected,,23761.7027596508,,,,,,
72,AndromedaXII,0.0,47.0,27.0,34.0,22.0,29.0,0.11,24.84,0.09,0.34,-558.4,18.3,1.2,1.2,999.9,9.99,28.5,1.2,0.2,0.2,2.6,5.1,2.6,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,(207),24.84,"012+34, m31",,,928966.3867799363,928.9663867799362,0.9289663867799363,79257.11058048169,galfa,upper_limit,0.07082680000000001,1.2,galfa_unresolved_undetected,,79257.11058048169,,,,,,
73,AndromedaXV,1.0,14.0,18.7,38.0,7.0,3.0,0.047,23.98,0.26,0.12,-323.0,14.6,0.3,0.3,0.0,0.0,24.8,1.21,0.05,0.05,4.0,1.4,1.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,202),23.98,,,,625172.6927756862,625.1726927756862,0.6251726927756861,40923.15702039255,hi4pi,upper_limit,0.0147889,1.21,hi4pi_unresolved_undetected,,,,40923.15702039255,,,,
74,AndromedaII,1.0,16.0,29.8,33.0,25.0,9.0,0.061,24.07,0.06,0.06,-192.4,11.5,0.2,0.2,34.0,0.2,24.5,6.2,0.2,0.2,7.8,1.1,1.1,10.9,2.4,2.4,4.65,gs,u,0.0,0.0,0.0,0.0,204),24.07,"020+34,m31?""
NGC185             0 38 58.0  48 20 15  23.95 0.09 0.09 -203.8  1.1  1.1 0.11 m31
AndromedaXXIX     23 58 55.6  30 45 20  24.32 0.22 0.22 -194.4  1.5  1.5 99.9 g31dr1 356+34""",,,651628.3940608428,651.6283940608428,0.6516283940608428,44332.79962077016,galfa,upper_limit,0.021649099999999998,6.2,galfa_resolved_undetected,,,44332.79962077016,65083.83032495729,,,,
75,NGC185,0.0,38.0,58.0,48.0,20.0,15.0,0.184,23.95,0.09,0.09,-203.8,9.2,0.1,0.1,35.0,0.15,20.8,2.55,9.99,9.99,24.0,1.0,1.0,15.0,5.0,5.0,0.11,x,u,15.3,0.8,0.8,0.0,,,,,,616595.0018614823,616.5950018614823,0.6165950018614823,110000.0,literature,detected_mass,,,literature,,,,,,,110000.0,
76,AndromedaXXIX,23.0,58.0,55.6,30.0,45.0,20.0,0.046,24.32,0.22,0.22,-194.4,16.0,0.4,0.4,51.0,0.35,99.9,1.7,0.2,0.2,5.7,1.2,1.2,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,,,,,731139.0834834172,731.1390834834172,0.7311390834834172,,,,,1.7,,,,,,,,,
77,Triangulum,1.0,33.0,50.9,30.0,39.0,37.0,0.040999999999999995,24.54,0.06,0.06,-179.2,5.7,0.1,0.1,999.9,9.99,99.9,99.99,9.99,9.99,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,,,,,809095.8991783813,809.0958991783813,0.8090958991783813,,,,,,,,,,,,,,
78,AndromedaXXIV,1.0,18.0,30.0,46.0,21.0,58.0,0.083,23.89,0.12,0.12,-128.2,16.3,0.5,0.5,5.0,0.25,27.8,2.1,0.1,0.1,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,23.89,,,,599791.0762555101,599.7910762555101,0.5997910762555101,39587.90472252748,hi4pi,upper_limit,0.015542799999999999,2.1,hi4pi_unresolved_undetected,,,,39587.90472252748,,,,
79,AndromedaVII,23.0,26.0,31.7,50.0,40.0,33.0,0.19399999999999998,24.41,0.1,0.1,-307.2,11.2,0.3,0.3,94.0,0.13,23.2,3.5,0.1,0.1,13.0,1.0,1.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,201),24.41,,,,762079.0100254115,762.0790100254115,0.7620790100254115,65554.20874727161,hi4pi,upper_limit,0.0159429,3.5,hi4pi_unresolved_undetected,,,,65554.20874727161,,,,
80,IC10,0.0,20.0,17.3,59.0,18.0,14.0,1.568,24.5,0.12,0.12,-348.0,9.5,0.2,0.2,999.9,0.19,24.6,2.65,9.99,9.99,99.9,99.9,99.9,99.9,99.9,99.9,50.0,x,u,8.0,1.0,1.0,34.0,45)(146)(196),24.5,,,,794328.2347242822,794.3282347242822,0.7943282347242822,50000000.0,literature,detected_mass,,,literature,,,,,,,50000000.0,
81,AndromedaXXXI,22.0,58.0,16.3,41.0,17.0,28.0,0.133,24.4,0.12,0.12,999.9,12.7,0.7,0.7,-59.0,0.43,25.8,4.2,0.4,0.5,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,24.4,- not seeing,,,758577.5750291836,758.5775750291837,0.7585775750291837,81482.2951269414,hi4pi,upper_limit,0.02,,hi4pi_no_velocity,,,,,,81482.2951269414,,
82,LGS3,1.0,3.0,55.0,21.0,53.0,6.0,0.04,24.43,0.07,0.07,-286.5,14.3,0.1,0.1,0.0,0.2,24.8,2.1,0.2,0.2,7.9,5.3,2.9,99.9,99.9,99.9,0.38,x,u,9.1,0.3,0.3,5.0,,24.43,"012+18 - check at least some of these detections for a reality check, or do you actually want to remeasure these?  There is this Courtois & Tully 2015 paper on remeasuring HI",,,769130.4402866098,769.1304402866098,0.7691304402866098,380000.0,literature,detected_mass,,,literature,,,,,,,380000.0,
83,AndromedaVI,23.0,51.0,46.3,24.0,34.0,57.0,0.063,24.47,0.07,0.07,-339.8,13.0,0.2,0.2,163.0,0.41,24.1,2.3,0.2,0.2,12.4,1.5,1.3,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,130)(207),24.47,356+26,,,783429.642766212,783.4296427662119,0.783429642766212,,,,,2.3,,,,,,,,,
84,AndromedaXXII,1.0,27.0,40.0,28.0,5.0,25.0,0.079,24.82,0.07,0.36,-129.8,18.0,0.8,0.8,114.0,0.56,26.7,0.94,0.1,0.1,2.8,1.9,1.4,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,(212),24.82,020+26,,,920449.5717531722,920.4495717531722,0.9204495717531722,39283.68717351311,galfa,upper_limit,0.035757869,0.94,galfa_unresolved_undetected,,39283.68717351311,,,,,,
85,AndromedaXVI,0.0,59.0,29.8,32.0,22.0,36.0,0.067,23.39,0.19,0.14,-367.3,14.4,0.3,0.3,0.0,0.0,23.9,0.89,0.05,0.05,3.8,2.9,2.9,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,202),23.39,012+34,,,476430.9868054156,476.4309868054156,0.47643098680541557,20296.339297768245,galfa,upper_limit,0.0689568,0.89,galfa_unresolved_undetected,,20296.339297768245,,,,,,
86,AndromedaXXVIII,22.0,32.0,41.2,31.0,12.0,58.0,0.096,24.1,0.5,0.2,-326.2,15.6,0.4,0.9,39.0,0.34,26.3,1.11,0.21,0.21,6.6,2.9,2.1,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,99.9,,24.1,340+34,,,660693.4480075964,660.6934480075964,0.6606934480075964,,,,,1.11,,,,,,,,,
87,AndromedaXXXIII,3.0,1.0,23.6,40.0,59.0,18.0,0.131,24.44,0.18,0.18,999.9,14.1,0.7,0.7,-6.0,0.43,25.6,1.7,0.4,0.4,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,24.44,- not seeing,,,772680.5850957021,772.6805850957021,0.7726805850957021,63405.14743520344,hi4pi,upper_limit,0.015,,hi4pi_no_velocity,,,,,,63405.14743520344,,
